iets	something
niets	nothing
alles	everything
een beetje	a bit of ( + uncountable)
natuurlijk	of course
reeds	already (formal)
al	already
nog	still, (+not) yet
erg	very
pas	just (a small time ago)
net	just (a moment ago, только что)
even	just (for a short amount of time)
gewoon	just (as usual), simply, ordinary
altijd	always
door	through
dus	so (than)
genoeg	enough
bijna	almost
bijvoorbeeld	for example
normaal	normal, usual
nooit	never
ooit	ever
nu	now
soms	sometimes
ook	also, too
meer	more
minder	less
verder	further
terug	back
het weer	the weather
Wat voor weer wordt het?	What will be the weather?
het weerbericht	the weather forecast
het bericht	the message
Lekker weer, hè?	Nice weather, isn’t it?
zeker	certainly, definitely, sure
mooi weer	beautiful weather
vandaag	today
de temperatuur	the temperature
de thermometer	the thermometer
de graden	the degrees
de graad	the degree
schijnen	to shine
slecht weer	bad weather
de neerslag	the precipitation
regenen	to rain
sneeuwen	to snow
hagelen	to hail
de wind	the wind
waaien	to blow
de storm	the storm
het onweer	the thunderstorm
de bliksem	the lightning
de donder	the thunder
de wolk	the cloud
bewolkt	cloudy
vriezen	to freeze
het ijs	the ice
